combinedFlightNumber,Large_delays,slight_delays,moderate_delays,total_cancellations,
AA 4348,0,0,0,8,
WN 574,0,0,0,8,
AA 5881,0,0,0,8,
UA 3542,0,0,0,8,
UA 3570,0,0,0,8,
NK 1233,0,0,0,8,
AA 380,0,0,0,8,
WN 1712,0,0,0,8,
AA 1492,0,0,0,8,
AA 4138,0,0,0,8,
AA 4190,0,0,0,8,
AA 1146,0,0,0,8,
AA 1469,0,0,0,8,
B6 2299,0,0,0,8,
B6 332,0,0,0,8,
NK 1672,0,0,0,8,
WN 785,0,0,0,8,
AA 1768,0,0,0,8,
AA 1736,0,0,0,8,
UA 3459,0,0,0,8,
AA 3229,0,0,0,8,
NK 765,0,0,0,8,
AA 1936,0,0,0,8,
WN 2425,0,0,0,8,
WN 683,0,0,0,8,
AA 1260,0,0,0,8,
AA 3525,0,0,0,8,
AA 3548,0,0,0,8,
AA 3571,0,0,0,8,
UA 3446,0,0,0,8,
AA 2337,0,0,0,8,
DL 4260,0,0,0,8,
WN 1423,0,0,0,8,
WN 620,0,0,0,8,
AA 3999,0,0,0,8,
UA 3567,0,0,0,8,
B6 275,0,0,0,8,
B6 1519,0,0,0,8,
AA 3841,0,0,0,8,
AA 3025,0,0,0,8,
AA 1279,0,0,0,8,
AA 4429,0,0,0,8,
AA 1857,0,0,0,8,
AA 2476,0,0,0,8,
AA 2496,0,0,0,8,
AA 4122,0,0,0,8,
AA 5949,0,0,0,8,
AA 455,0,0,0,8,
B6 2030,0,0,0,8,
B6 955,0,0,0,8,
UA 5597,0,0,0,8,
DL 3669,0,0,0,8,
NK 392,0,0,0,8,
AA 2581,0,0,0,8,
B6 931,0,0,0,8,
WN 972,0,0,0,8,
B6 1051,0,0,0,8,
B6 906,0,0,0,8,
AA 2609,0,0,0,8,
WN 825,0,0,0,8,
WN 1458,0,0,0,8,
AA 2066,0,0,0,8,
AA 2607,0,0,0,8,
B6 2748,0,0,0,8,
B6 352,0,0,0,8,
AA 1368,0,0,0,8,
DL 3513,0,0,0,8,
AA 3155,0,0,0,8,
AA 1945,0,0,0,8,
AA 1550,0,0,0,8,
DL 5127,0,0,0,8,
B6 702,0,0,0,8,
AA 3642,0,0,0,8,
UA 5129,0,0,0,8,
DL 5825,0,0,0,8,
B6 1633,0,0,0,8,
AA 3187,0,0,0,8,
NK 1130,0,0,0,8,
AA 3633,0,0,0,8,
NK 2719,0,0,0,8,
AA 1807,0,0,0,8,
WN 1407,0,0,0,8,
AA 2655,0,0,0,8,
WN 20,0,0,0,8,
AA 1781,0,0,0,8,
WN 1068,0,0,0,8,
AA 2640,0,0,0,8,
WN 1563,0,0,0,8,
NK 1673,0,0,0,8,
UA 5176,0,0,0,8,
NK 712,0,0,0,8,
NK 251,0,0,0,8,
AA 1208,0,0,0,8,
AA 1537,0,0,0,8,
WN 655,0,0,0,8,
AA 2683,0,0,0,8,
AA 3214,0,0,0,8,
AA 5916,0,0,0,8,
UA 3508,0,0,0,8,
B6 1486,0,0,0,8,
WN 401,0,0,0,8,
AA 1192,0,0,0,8,
NK 599,0,0,0,8,
NK 2308,0,0,0,8,
UA 4642,0,0,0,8,
AA 1065,0,0,0,8,
AA 1880,0,0,0,8,
AA 2673,0,0,0,8,
DL 4874,0,0,0,8,
WN 1371,0,0,0,8,
